sacc;stitle;sscinames
EU370428;Argulus foliaceus strain C38 18S ribosomal RNA gene, partial sequence;Argulus foliaceus
AY446934;Austropallene cornigera 18S ribosomal RNA gene, partial sequence;Austropallene cornigera
AY962535;Junceella aquamata 18S ribosomal RNA gene, partial sequence;Junceella aquamata
MK844734;Lebbeus polaris voucher WS997 small subunit ribosomal RNA gene, partial sequence;Lebbeus polaris
AY529026;Mesopodopsis slabberi cytochrome oxidase subunit I (COI) gene, partial cds;Mesopodopsis slabberi
LT631075;Acropora granulosa partial 18S rRNA gene, specimen voucher PFB125;Acropora granulosa
MK839077;Plotocnide borealis voucher WS343 small subunit ribosomal RNA gene, partial sequence;Plotocnide borealis
LT631075;Acropora granulosa partial 18S rRNA gene, specimen voucher PFB125;Acropora granulosa
KX467480;Phascolosoma esculenta isolate WZ-6 16S ribosomal RNA gene, partial sequence;Phascolosoma esculenta
KX467463;Phascolosoma esculenta isolate NZ-14 16S ribosomal RNA gene, partial sequence;Phascolosoma esculenta
KX467459;Phascolosoma esculenta isolate NZ-10 16S ribosomal RNA gene, partial sequence;Phascolosoma esculenta
KX467429;Phascolosoma esculenta isolate GB-1 16S ribosomal RNA gene, partial sequence;Phascolosoma esculenta
KT168327;Equus cf. scotti PH-2017 isolate PH055 mitochondrion;Equus cf. scotti PH-2017
KT168323;Equus cf. scotti PH-2017 isolate PH053 mitochondrion, partial genome;Equus cf. scotti PH-2017
XR_004087813;PREDICTED: Quercus lobata 18S ribosomal RNA (LOC115973731), rRNA;Quercus lobata
4CE4_A;Chain A, Structure Of The Large Subunit Of The Mammalian Mitoribosome;Sus scrofa
4V19_A;Chain A, Structure Of The Large Subunit Of The Mammalian Mitoribosome;Sus scrofa
AB000207;Monodus sp. CCMP505 mitochondrial DNA for cytochrome oxidase subunit I, partial cds;Monodus sp. CCMP505
AB191409;Uncultured eukaryote gene for small subunit rRNA, partial sequence, clone:TAGIRI-1;uncultured eukaryote
AB191410;Uncultured eukaryote gene for small subunit rRNA, partial sequence, clone:TAGIRI-2;uncultured eukaryote
AB191413;Uncultured eukaryote gene for small subunit rRNA, partial sequence, clone:TAGIRI-5;uncultured eukaryote
AB191414;Uncultured eukaryote gene for small subunit rRNA, partial sequence, clone:TAGIRI-6;uncultured eukaryote
AB191432;Uncultured eukaryote gene for small subunit rRNA, partial sequence, clone:TAGIRI-24;uncultured eukaryote
AB191435;Uncultured eukaryote gene for small subunit rRNA, partial sequence, clone:TAGIRI-27;uncultured eukaryote
AB222611;Uncultured fungus genes for ITS1, 5.8S rRNA, ITS2, partial and complete sequence, clone:ITAF2-3;uncultured fungus
AB252745;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: NAMAKO-5;uncultured eukaryote
AB252746;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: NAMAKO-6;uncultured eukaryote
AB252747;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: NAMAKO-7;uncultured eukaryote
AB252748;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: NAMAKO-8;uncultured eukaryote
AB252750;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: NAMAKO-10;uncultured eukaryote
AB252751;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: NAMAKO-11;uncultured eukaryote
AB252753;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: NAMAKO-13;uncultured eukaryote
AB252773;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: NAMAKO-33;uncultured eukaryote
AB252774;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: NAMAKO-34;uncultured eukaryote
AB275010;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: DSGM-10;uncultured eukaryote
AB275011;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: DSGM-11;uncultured eukaryote
AB275021;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: DSGM-21;uncultured eukaryote
AB275032;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: DSGM-32;uncultured eukaryote
AB275042;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: DSGM-42;uncultured eukaryote
AB275044;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: DSGM-44;uncultured eukaryote
AB275046;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: DSGM-46;uncultured eukaryote
AB275049;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: DSGM-49;uncultured eukaryote
AB275050;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: DSGM-50;uncultured eukaryote
AB275051;Uncultured eukaryote gene for SSU rRNA, partial sequence, clone: DSGM-51;uncultured eukaryote
