taxids;name;type designation
1862133;Candidatus Gracilibacteria bacterium 28_42_T64;
2030810;Candidatus Kaiserbacteria bacterium;
203437;uncultured Gemmatimonadetes bacterium;
1869227;bacterium;
1165183;bacterium SH5-3;
1632529;bacterium YC-ZSS-LKJ135;
926914;bacterium enrichment culture clone AOM-SR-B8;
148232;uncultured Crater Lake bacterium CL500-15;
96974;uncultured hydrocarbon seep bacterium BPC102;
710808;uncultured alpha proteobacterium HF0130_06E21;
124617;uncultured bacterium FukuN108;
90856;uncultured delta proteobacterium Sva0516;
90848;uncultured delta proteobacterium Sva0853;
2684113;Opitutae bacterium ISCC 53;
171248;uncultured alga;
414673;Ciliate sp. NCMS0601;
1148151;Centroheliozoa sp. ATCC 50535;
2611346;Choanoflagellata sp.;
2864116;Sarcinochrysidales sp.;
2590763;Nemertea sp. LKW054;
44835;unidentified soil organism R6-60;
2684113;Opitutae bacterium ISCC 53;
2053489;Candidatus Lokiarchaeota archaeon;
347548;uncultured marine group II euryarchaeote HF10_15F05;
97845;uncultured archaeon BURTON-12;
114243;uncultured euryarchaeote;
2934425;Arthropoda sp. MM00107;
37373;hydrothermal vent eubacterium PVB_OTU_2;
126501;uncultured epsilon proteobacterium n29r;
326920;endosymbiont of Alviniconcha sp.;
37381;hydrothermal vent eubacterium PVB_OTU_8;
630807;bacterium enrichment culture clone LA103;
666559;uncultured Erysipelotrichia bacterium;
760715;delta proteobacterium enrichment culture clone VNC2Bb08;
96965;uncultured hydrocarbon seep bacterium GCA014; 
1378685;bacterium enrichment culture clone 66;
1378693;uncultured Salimesophilobacter sp.;
292269;Alviniconcha sp. gill symbiont;
526681;uncultured bacterium KM3-69-D9;
1075299;uncultured Cymbella;
1213879;uncultured Strobilomyces;
1331729;uncultured Candidatus Xiphinematobacter sp.;
1381340;uncultured Claroideoglomeraceae;
1395131;uncultured Cercomonas;
1895989;uncultured Strombidiidae;
228191;uncultured Rhizopogon;
254030;uncultured Acaulospora;
341155;uncultured Colpodellidae;
358418;uncultured Pyronemataceae;
385151;uncultured Boletales;
404782;uncultured Agaricostilbomycetidae;
417963;uncultured Acanthobdellida sp.;
417963;uncultured Acanthobdellida sp.;
417975;uncultured Phoroniformea sp.;
450327;uncultured Tomentellopsis;
547481;uncultured Oligotrichia;
551037;uncultured Sphaerobolus;
581131;uncultured Sebacina mycobiont of Medicago lupulina;
585505;uncultured Agaricomycetidae;
613065;uncultured Geastrum;
857195;uncultured Piromyces;
891965;uncultured Ambispora;
986067;uncultured Coprinus;
119509;uncultured marine bacterium ZD0107;
119510;uncultured marine bacterium ZD0108;
124091;uncultured gamma proteobacterium kps01rc;
127808;uncultured gamma proteobacterium kpj420rc;
131185;uncultured gamma proteobacterium NAC11-19;
133802;uncultured proteobacterium EBAC27G05;
159782;uncultured gamma proteobacterium MB12G02;
159783;uncultured gamma proteobacterium MB11B08;
159785;uncultured gamma proteobacterium MB12D03;
159786;uncultured gamma proteobacterium MB11G09;
159787;uncultured gamma proteobacterium MB11E02;
173973;uncultured Photobacterium sp.;
174324;uncultured Chlamydiales bacterium;
215611;uncultured marine cyanobacterium;
266134;uncultured marine gamma proteobacterium EBAC20E09;
293331;uncultured Legionellaceae bacterium;
62675;uncultured proteobacterium OCS5;
710975;uncultured gamma proteobacterium EBAC_27G05;
88938;uncultured alpha proteobacterium SUR-FREE-29;
88948;uncultured gamma proteobacterium SUR-FREE-14;
88949;uncultured gamma proteobacterium SUR-FREE-15;
88950;uncultured gamma proteobacterium SUR-FREE-31;
88960;uncultured alpha proteobacterium DCM-FREE-32;
88976;uncultured gamma proteobacterium DCM-FREE-12;
88979;uncultured gamma proteobacterium DCM-FREE-28;
90489;uncultured gamma proteobacterium CHAB-III-1;
904988;uncultured Pelagibius sp.;
90498;uncultured gamma proteobacterium CHAB-II-39;
